sample_id,energy_uj
0,133336
1,126590
2,127802
3,131573
4,128388
5,171305
6,128876
7,134182
8,131385
9,128779
10,133824
11,132230
12,130294
13,128361
14,128925
15,130508
16,142719
17,142285
18,133793
19,132814
20,137611
21,135769
22,133472
23,132740
24,128964
25,171499
26,128806
27,134387
28,133682
29,129492
30,135721
31,144151
32,133199
33,135353
34,137169
35,142880
36,139066
37,136281
38,134435
39,134335
40,133976
41,134995
42,132631
43,131088
44,129480
45,131586
46,173730
47,131467
48,135290
49,129017
50,128226
51,135931
52,135627
53,134054
54,137673
55,132899
56,134539
57,129200
58,129182
59,132991
60,134250
61,136053
62,133131
63,129827
64,131494
65,132371
66,176843
67,135988
68,137394
69,134739
70,134243
71,143146
72,142501
73,140883
74,136249
75,137640
76,138532
77,136309
78,138481
79,137383
80,134534
81,134687
82,132308
83,132377
84,133734
85,135477
86,154224
87,160718
88,134682
89,140605
90,134133
91,136381
92,135924
93,134427
94,131089
95,129528
96,131953
97,134858
98,132633
99,134086
100,135673
101,130847
102,133369
103,134189
104,130347
105,133853
106,132381
107,176331
108,135357
109,138271
110,150450
111,146432
112,141005
113,141750
114,134088
115,136951
116,135592
117,139662
118,136981
119,138127
120,137004
121,134299
122,137895
123,137712
124,136060
125,135667
126,136429
127,178350
128,149941
129,141605
130,152181
131,132924
132,142640
133,137670
134,139014
135,135410
136,131864
137,138622
138,131769
139,134016
140,135068
141,132379
142,129355
143,131472
144,130712
145,133632
146,134216
147,131152
148,185264
149,140504
150,138325
151,134015
152,132100
153,134222
154,134799
155,134610
156,140634
157,133528
158,135007
159,137090
160,134951
161,135882
162,135511
163,133762
164,135771
165,130983
166,135666
167,134412
168,174699
169,133082
170,138054
171,134614
172,131922
173,136498
174,135597
175,148356
176,135492
177,138362
178,136168
179,136964
180,137485
181,140876
182,136266
183,135308
184,130314
185,132844
186,134604
187,139773
188,152158
189,160982
190,139136
191,140037
192,136454
193,135475
194,138840
195,138030
196,136127
197,140701
198,137791
199,138186
200,137709
201,136866
202,135927
203,131995
204,135097
205,133098
206,127784
207,134165
208,134138
209,173326
210,132827
211,136372
212,131813
213,135630
214,134064
215,142663
216,137761
217,134119
218,135247
219,134545
220,130078
221,134180
222,135208
223,131119
224,135336
225,137209
226,138737
227,134416
228,134700
229,161591
230,152393
231,137341
232,137167
233,138517
234,133701
235,146553
236,135512
237,140575
238,136452
239,144918
240,134019
241,169092
242,139772
243,137181
244,144957
245,139924
246,136696
247,134651
248,136801
249,139277
250,180516
251,141758
252,141025
253,138790
254,136651
255,138442
256,138273
257,138431
258,139020
259,140397
260,139495
261,137854
262,137773
263,137608
264,153021
265,140291
266,145887
267,135101
268,134532
269,140745
270,178255
271,136683
272,140454
273,140202
274,135726
275,140079
276,137697
277,134904
278,140638
279,143975
280,134371
281,131641
282,132785
283,133080
284,132595
285,137244
286,145957
287,134822
288,136470
289,135431
290,133965
291,176663
292,138345
293,137189
294,135878
295,137818
296,140154
297,135945
298,140444
299,138309
300,136823
301,135229
302,133253
303,130524
304,130133
305,134080
306,147491
307,145585
308,134785
309,135917
310,133301
311,173926
312,128730
313,138713
314,136918
315,135490
316,138387
317,138776
318,139086
319,136747
320,135975
321,136500
322,135222
323,133831
324,138647
325,137159
326,146166
327,137393
328,135908
329,137698
330,136674
331,153397
332,158468
333,140266
334,138815
335,140053
336,141606
337,140452
338,141227
339,140232
340,142277
341,144996
342,139858
343,139520
344,149128
345,141069
346,224078
347,349883
348,272327
349,183886
350,185878
351,139837
352,180842
353,134147
354,140238
355,134590
356,133904
357,141216
358,134788
359,137348
360,136816
361,136664
362,130862
363,131896
364,131559
365,130770
366,132702
367,140253
368,132767
369,130488
370,130039
371,130153
372,173699
373,131187
374,135220
375,134355
376,130577
377,136965
378,138194
379,136472
380,138884
381,133843
382,133741
383,136265
384,130928
385,132999
386,132208
387,135574
388,130319
389,131476
390,133409
391,142849
392,136984
393,174032
394,141955
395,136088
396,133005
397,130797
398,136572
399,135481
400,135052
401,133267
402,136284
403,145151
404,128224
405,135536
406,134337
407,134037
408,135862
409,132888
410,134253
411,131328
412,128824
413,168864
414,127540
415,136065
416,130880
417,127328
418,131998
419,130780
420,127236
421,134725
422,131258
423,130181
424,139624
425,135445
426,134434
427,137082
428,136076
429,135497
430,132880
431,135798
432,133515
433,164235
434,148707
435,139277
436,139943
437,136539
438,136190
439,139362
440,137307
441,135397
442,130129
443,143450
444,133622
445,131006
446,134451
447,130049
448,135132
449,131254
450,133574
451,132067
452,132977
453,130125
454,174728
455,133464
456,138436
457,136351
458,131603
459,135123
460,133609
461,131831
462,137247
463,136019
464,133643
465,135845
466,137936
467,139341
468,136055
469,140206
470,139250
471,137084
472,136114
473,131992
474,172539
475,130624
476,135391
477,133962
478,132978
479,134254
480,137116
481,129889
482,129473
483,132778
484,134731
485,133947
486,133040
487,138771
488,135594
489,138341
490,140428
491,135342
492,132393
493,133632
494,134855
495,176101
496,137972
497,133597
498,133238
499,131939
