sample_id,energy_uj
0,140646
1,137897
2,135486
3,146685
4,145903
5,137982
6,134564
7,135143
8,136388
9,134449
10,136765
11,137900
12,135683
13,135162
14,137051
15,177300
16,136852
17,140080
18,131826
19,136178
20,136819
21,141791
22,137012
23,145215
24,139055
25,146409
26,137947
27,135855
28,138129
29,135705
30,137603
31,143209
32,139319
33,129498
34,130045
35,151210
36,155242
37,136749
38,137975
39,138009
40,132873
41,138530
42,132722
43,132205
44,136718
45,151908
46,136879
47,135733
48,138317
49,136918
50,135944
51,134992
52,138491
53,136481
54,135158
55,133061
56,174070
57,137883
58,140455
59,135345
60,130673
61,131506
62,134397
63,134613
64,135443
65,136180
66,136489
67,134584
68,135161
69,137167
70,132573
71,132889
72,136901
73,134939
74,131204
75,130518
76,169684
77,139095
78,139498
79,135137
80,130911
81,132131
82,136088
83,135824
84,134046
85,135641
86,133492
87,133725
88,134773
89,137150
90,221353
91,138199
92,154188
93,159562
94,145831
95,145399
96,138518
97,177272
98,138899
99,137887
100,135499
101,138152
102,136189
103,139119
104,138574
105,141984
106,140607
107,142072
108,133831
109,135667
110,143207
111,140250
112,139211
113,150023
114,141897
115,140446
116,137845
117,181887
118,139417
119,137740
120,137338
121,151838
122,147145
123,142982
124,140044
125,142532
126,140149
127,138730
128,130845
129,129384
130,128262
131,128744
132,128886
133,127015
134,141637
135,130229
136,126713
137,144548
138,150290
139,127657
140,128787
141,140627
142,126731
143,128424
144,128958
145,128034
146,130163
147,134650
148,126301
149,123040
150,124958
151,126331
152,128837
153,122730
154,124196
155,123618
156,122859
157,123427
158,170593
159,128515
160,129269
161,126685
162,131025
163,127742
164,126506
165,130013
166,131401
167,130389
168,128693
169,128421
170,128198
171,128423
172,130779
173,129202
174,129052
175,132461
176,128227
177,128492
178,151561
179,145604
180,132910
181,129691
182,128977
183,132071
184,129020
185,131876
186,127008
187,138739
188,126912
189,124486
190,126198
191,125201
192,128793
193,129402
194,127707
195,128368
196,125573
197,128755
198,129175
199,169165
200,132262
201,129882
202,126708
203,131218
204,129183
205,132208
206,129061
207,129868
208,128397
209,128650
210,126989
211,128805
212,130622
213,128756
214,127487
215,127313
216,127392
217,127154
218,133768
219,165635
220,126102
221,130573
222,128514
223,129209
224,136175
225,130250
226,134880
227,126127
228,126815
229,126512
230,126115
231,128538
232,127261
233,129103
234,129896
235,128665
236,129419
237,133201
238,131674
239,130830
240,169408
241,131752
242,131315
243,129678
244,132735
245,136792
246,130789
247,131796
248,132642
249,142936
250,126868
251,123715
252,125117
253,128170
254,128448
255,126968
256,124495
257,129849
258,125164
259,129092
260,166533
261,123914
262,125859
263,122634
264,125511
265,128439
266,123368
267,126008
268,128097
269,129365
270,128665
271,128883
272,127437
273,128544
274,124899
275,127893
276,125670
277,128378
278,128002
279,125983
280,131069
281,156776
282,128492
283,125762
284,124414
285,129754
286,129380
287,128538
288,126387
289,127806
290,123945
291,125138
292,122363
293,123841
294,127980
295,131042
296,127079
297,126513
298,129310
299,120060
300,122668
301,166506
302,124098
303,127133
304,124794
305,124160
306,128972
307,129056
308,125090
309,128362
310,128138
311,126583
312,125718
313,126649
314,127161
315,126738
316,128119
317,128480
318,130083
319,128539
320,128486
321,151555
322,155671
323,139794
324,137232
325,129924
326,131080
327,130527
328,131395
329,129885
330,130869
331,130662
332,130406
333,130883
334,127206
335,130005
336,130834
337,131346
338,126351
339,134554
340,127762
341,128806
342,171453
343,138653
344,130360
345,128726
346,129495
347,130518
348,130287
349,128703
350,130842
351,141210
352,131285
353,131777
354,129195
355,127294
356,126619
357,127280
358,128769
359,130416
360,129731
361,128959
362,157764
363,146228
364,132355
365,129282
366,124977
367,127847
368,125162
369,127371
370,130981
371,130079
372,128177
373,126208
374,126644
375,126919
376,126754
377,128478
378,131015
379,125381
380,128698
381,125292
382,124449
383,168820
384,129263
385,128113
386,126729
387,126137
388,128372
389,126843
390,125057
391,128015
392,129865
393,129284
394,126520
395,128571
396,127398
397,128161
398,129203
399,126142
400,130211
401,130065
402,128813
403,155372
404,144560
405,127827
406,127321
407,125559
408,131310
409,127511
410,128282
411,126377
412,127097
413,129001
414,127144
415,123618
416,125432
417,121382
418,123758
419,129957
420,124948
421,130327
422,128116
423,132617
424,183331
425,131929
426,127596
427,128535
428,127293
429,130880
430,128959
431,127669
432,138976
433,129387
434,136851
435,128920
436,134903
437,135983
438,126693
439,137142
440,127352
441,127843
442,128719
443,133952
444,160585
445,159907
446,130745
447,128078
448,129556
449,129523
450,125937
451,126573
452,130623
453,155855
454,140594
455,132574
456,125149
457,123809
458,128307
459,125430
460,131378
461,126414
462,130437
463,126779
464,137031
465,180921
466,121102
467,125432
468,125469
469,125654
470,125136
471,124954
472,125645
473,125731
474,124669
475,121573
476,127114
477,126183
478,127091
479,128254
480,131144
481,127152
482,129640
483,128328
484,128083
485,190086
486,128313
487,128588
488,127971
489,128462
490,131288
491,127836
492,125444
493,131573
494,129587
495,126089
496,125283
497,122499
498,122974
499,126957
