label,iterations,energy_uJ,elapsed_ns,extra_args
ADC,5000000000,29102404,1203933106,
ADD,5000000000,26686761,1113745779,
ADDPS,5000000000,99538258,4419499586,
AND,5000000000,27179252,1111006706,
BSF,5000000000,74824516,3317453466,
BSR,5000000000,75107046,3318767143,
BT,5000000000,26741631,1107395392,
BTC,5000000000,27647146,1107820305,
BTR,5000000000,26765862,1108129239,
BTS,5000000000,27043570,1106618619,
CLFLUSH,5000000000,2039189177,95165668471,
CLFLUSHOPT,5000000000,1754008571,78748030438,
CMOVNZ,5000000000,32668984,1199285946,
CMOVZ,5000000000,32705727,1198749409,
CMP,5000000000,30193282,1106592196,
DEC,5000000000,30014999,1110163338,
DIVPS,5000000000,287095395,12142658359,
IDIV,5000000000,911528795,35058272680,
IMUL,5000000000,84693753,3318176892,
INC,5000000000,30720198,1112255570,
LEA,5000000000,33600866,1206358463,
LFENCE,5000000000,340496931,13596424599,
LZCNT,5000000000,86046899,3324763337,
MFENCE,5000000000,1864723314,72846875233,
MOV_HW0,5000000000,33283057,1111239634,0x0
MOV_HW64,5000000000,33543860,1115626905,0xffffffffffffffff
MUL,5000000000,87746723,3338089902,
MULPS,5000000000,119665038,4417041715,
NEG,5000000000,32455727,1107467918,
NOP,5000000000,31586528,1109173460,
NOT,5000000000,32427529,1108610195,
OR,5000000000,32211526,1108833754,
POPCNT,5000000000,84481168,3402683600,
PREFETCHT0,5000000000,32994606,1131529589,
ROL,5000000000,48320311,1674175971,
ROR,5000000000,48698484,1660538343,
SAR,5000000000,31928080,1107425427,
SBB,5000000000,35736053,1199795804,
SETA,5000000000,49482418,1730743419,
SETB,5000000000,35342011,1200383448,
SETC,5000000000,35377290,1203252577,
SETNZ,5000000000,35600129,1200224558,
SETZ,5000000000,35351289,1204913030,
SFENCE,5000000000,174644572,6620595595,
SHL,5000000000,32542825,1110913752,
SHR,5000000000,31677104,1110609126,
STORE,5000000000,33422827,1111314524,
SUB,5000000000,31679484,1110545480,
SUBPS,5000000000,119138489,4527790939,
TEST,5000000000,30666426,1144218015,
TZCNT,5000000000,87888813,3381890422,
VADDPD,5000000000,121879265,4439999796,
VADDPS,5000000000,120178587,4417513058,
VANDPS,5000000000,32812538,1105219334,
VDIVPD,5000000000,365694132,14331019411,
VDIVPS,5000000000,306909615,12251920460,
VMAXPS,5000000000,119605772,4428696065,
VMINPS,5000000000,119879332,4432098104,
VMULPD,5000000000,121540461,4412134394,
VMULPS,5000000000,298386993,9921714891,
VPADDD,5000000000,33079567,1104071880,
VPAND,5000000000,32911048,1117947573,
VPMULLD,5000000000,286887022,11026640745,
VPOR,5000000000,33064002,1107171240,
VPSUBD,5000000000,32999733,1103475692,
VPXOR,5000000000,33093360,1106437242,
VSUBPD,5000000000,121188350,4410291681,
VSUBPS,5000000000,120490476,4409012792,
XOR,5000000000,31369182,1123821861,
