operand_hex,hamming,run_idx,energy_uJ,elapsed_ns
0x0000000000000000,0,1,36743924,4727474598
0x0000000000000000,0,2,37131802,4703055505
0x0000000000000000,0,3,37173428,4703314831
0x0000000000000000,0,4,36544889,4705612705
0x0000000000000000,0,5,36759183,4705757289
0x0000000000000000,0,6,36822110,4705584797
0x0000000000000000,0,7,36706693,4705713897
0x0000000000000000,0,8,36982510,4705234455
0x00000000000000FF,8,1,37124721,4704954048
0x00000000000000FF,8,2,36774686,4705217335
0x00000000000000FF,8,3,36939664,4704965710
0x00000000000000FF,8,4,36898465,4704876687
0x00000000000000FF,8,5,36904873,4704780267
0x00000000000000FF,8,6,36994778,4704974499
0x00000000000000FF,8,7,37211269,4705009475
0x00000000000000FF,8,8,37788172,4705907635
0x000000000000FFFF,16,1,37937586,4705706078
0x000000000000FFFF,16,2,37275661,4705141262
0x000000000000FFFF,16,3,37709193,4705139566
0x000000000000FFFF,16,4,37405421,4705112779
0x000000000000FFFF,16,5,37174282,4705424590
0x000000000000FFFF,16,6,37274441,4705237050
0x000000000000FFFF,16,7,37341518,4706001192
0x000000000000FFFF,16,8,36920743,4705267836
0x0000000000FFFFFF,24,1,36877469,4718352287
0x0000000000FFFFFF,24,2,36815031,4718388146
0x0000000000FFFFFF,24,3,36499235,4718452119
0x0000000000FFFFFF,24,4,36996548,4718083375
0x0000000000FFFFFF,24,5,37285244,4718234526
0x0000000000FFFFFF,24,6,36311736,4718646980
0x0000000000FFFFFF,24,7,36549650,4715016418
0x0000000000FFFFFF,24,8,36913113,4703336926
0x00000000FFFFFFFF,32,1,37485317,4704310004
0x00000000FFFFFFFF,32,2,37271450,4703445284
0x00000000FFFFFFFF,32,3,36842313,4720475862
0x00000000FFFFFFFF,32,4,37492580,4716576930
0x00000000FFFFFFFF,32,5,37493800,4703140119
0x00000000FFFFFFFF,32,6,37664821,4703014239
0x00000000FFFFFFFF,32,7,37669765,4703868780
0x00000000FFFFFFFF,32,8,37984339,4704358837
0x000000FFFFFFFFFF,40,1,38011682,4703266535
0x000000FFFFFFFFFF,40,2,37019375,4703085734
0x000000FFFFFFFFFF,40,3,36588591,4703007749
0x000000FFFFFFFFFF,40,4,36589017,4703378167
0x000000FFFFFFFFFF,40,5,36509733,4703149987
0x000000FFFFFFFFFF,40,6,36899686,4702837147
0x000000FFFFFFFFFF,40,7,37734889,4703438532
0x000000FFFFFFFFFF,40,8,38054956,4703674526
0x0000FFFFFFFFFFFF,48,1,38097558,4704723599
0x0000FFFFFFFFFFFF,48,2,37150296,4703307202
0x0000FFFFFFFFFFFF,48,3,36842618,4703713608
0x0000FFFFFFFFFFFF,48,4,36957303,4709593774
0x0000FFFFFFFFFFFF,48,5,37398159,4703633203
0x0000FFFFFFFFFFFF,48,6,38022424,4703946981
0x0000FFFFFFFFFFFF,48,7,36889676,4703389764
0x0000FFFFFFFFFFFF,48,8,37679103,4704441261
0x00FFFFFFFFFFFFFF,56,1,37442165,4703436791
0x00FFFFFFFFFFFFFF,56,2,37479580,4703607009
0x00FFFFFFFFFFFFFF,56,3,37653102,4710934808
0x00FFFFFFFFFFFFFF,56,4,37585414,4710390115
0x00FFFFFFFFFFFFFF,56,5,36806485,4710883794
0x00FFFFFFFFFFFFFF,56,6,37028592,4710839589
0x00FFFFFFFFFFFFFF,56,7,36969449,4718343985
0x00FFFFFFFFFFFFFF,56,8,37075466,4718120392
0xFFFFFFFFFFFFFFFF,64,1,37242885,4718183669
0xFFFFFFFFFFFFFFFF,64,2,37525355,4716499243
0xFFFFFFFFFFFFFFFF,64,3,37102749,4702719487
0xFFFFFFFFFFFFFFFF,64,4,37425319,4704468446
0xFFFFFFFFFFFFFFFF,64,5,36240935,4714564435
0xFFFFFFFFFFFFFFFF,64,6,36672636,4714781163
0xFFFFFFFFFFFFFFFF,64,7,37443508,4705460657
0xFFFFFFFFFFFFFFFF,64,8,36848173,4705032455
