mean,std,max,min,energy_sum,spikes,fft_peak,label,run
1179484.2121928167,109174.64037458734,3559622,954710,2495788593,106,2,PicoCNN,0
1112588.7961574509,118680.83768550839,3091545,831907,2374264491,107,0,PicoCNN,1
1030159.5475746269,92552.8514453332,2565728,843565,2208662070,108,701,PicoCNN,2
1026364.1367837338,82380.4475780489,1764400,843443,2221051992,109,16,PicoCNN,3
1012450.8981009726,91482.67951729192,2446771,832640,2185881489,108,0,PicoCNN,4
987794.5749419953,71087.20976775336,1801997,840269,2128697309,108,665,PicoCNN,5
993617.9727734195,81489.04980956296,2033808,838438,2153170147,109,637,PicoCNN,6
995295.6293900185,79214.49758767536,2191401,792539,2153819742,109,629,PicoCNN,7
995730.6553171641,80764.75592664779,2120539,770872,2134846525,108,655,PicoCNN,8
997185.6199074074,80924.42155509848,1673885,762083,2153920939,108,637,PicoCNN,9
1181614.9158950618,139813.7656618315,3265983,881285,4594118793,195,0,MiniMobileNet,0
1152957.3927198155,140146.02345514944,2916985,882688,4497686789,195,1102,MiniMobileNet,1
1148895.6520844055,313260.05520981277,18950635,883786,4464608504,195,1110,MiniMobileNet,2
1142799.7768383294,130425.0993368279,3183219,874875,4460347529,196,1103,MiniMobileNet,3
1194918.1775510204,175969.57903950592,2350824,883116,4684079256,196,1,MiniMobileNet,4
1164814.4650038178,160543.6712642123,2490472,884397,4576556033,197,0,MiniMobileNet,5
1187505.3970925785,155099.79106730883,3144889,875120,4656208662,196,0,MiniMobileNet,6
1191827.9823799797,140501.29203721075,3335685,889280,4667198379,196,1123,MiniMobileNet,7
1186261.2035714285,128604.72252241253,2456110,866330,4650143918,196,1103,MiniMobileNet,8
1182068.535741737,132319.9830548793,3402762,896788,4613613495,196,1110,MiniMobileNet,9
