mean,std,max,min,energy_sum,spikes,fft_peak,label,run
1159257.6250561294,126517.5488279842,2375666,712767,2581666731,112,0,nanocnn,0
1040798.4431616341,98327.00544005669,3035453,817869,2343878094,113,562,nanocnn,1
1048278.7818747223,90141.72707967281,2413813,790831,2359675538,113,14,nanocnn,2
1043346.1307247665,79364.1228798674,2123652,859617,2346485448,113,358,nanocnn,3
1048897.9226666666,96014.80485853914,2809014,830259,2360020326,112,532,nanocnn,4
-115615596.93680462,5528925162.206464,3011772,-262142339778,-259788246317,113,8,nanocnn,5
1043959.5386996904,81016.3196346767,2053706,847044,2360392517,113,569,nanocnn,6
1050106.1703736654,96165.81072464927,2822197,847166,2360638671,113,13,nanocnn,7
1051989.5432372505,88635.72219395098,2100520,857236,2372236420,113,0,nanocnn,8
1049050.1645962733,90261.24436566507,2442621,847288,2364559071,113,541,nanocnn,9
1033085.8699074074,80291.01291242943,1547909,854124,2231465479,108,341,picocnn,0
1036117.5164886205,86352.5363455345,1884334,859251,2230761013,108,6,picocnn,1
1043439.7480204937,105377.0505678025,2195368,782041,2240265139,108,1,picocnn,2
1070698.875990676,95544.59486327533,2203425,864866,2296649089,108,1,picocnn,3
1066011.5798319327,98804.96634166106,2058833,846921,2283396804,108,700,picocnn,4
1063117.9675174013,87920.61925428236,2829704,834898,2291019220,108,700,picocnn,5
1048857.8861524165,103681.86344984229,3108513,780150,2257142171,108,1,picocnn,6
1013627.3876221499,91195.04522335604,2740593,765807,2178285256,108,635,picocnn,7
1012274.0203987019,80770.18551152755,1863033,814574,2183475062,108,615,picocnn,8
1012153.3226555246,82136.6871345931,2045405,837156,2180178257,108,666,picocnn,9
1169501.3620162932,139371.43783823517,3516165,823423,4593801350,197,1123,minimobilenet,0
1167106.6967233934,139142.61829113995,2675347,884824,4594899065,197,1132,minimobilenet,1
1191402.164345404,159165.2246797343,2920158,893369,4704847147,198,0,minimobilenet,2
1165400.4903406203,127206.6890819582,2221247,905149,4584685529,197,1130,minimobilenet,3
1168387.718567437,128718.87982455935,2874016,901731,4599942448,197,1142,minimobilenet,4
1174806.3338349636,134059.55453062736,2224848,880002,4683952853,200,1231,minimobilenet,5
1173908.3972706597,130462.34721507462,2117670,881834,4645155528,198,1107,minimobilenet,6
1169075.2546978162,125826.95498889309,2041255,895322,4603818353,197,1113,minimobilenet,7
1167614.6294027565,133271.7353493896,3804922,887265,4574714118,196,1120,minimobilenet,8
1184495.720498474,143889.1717750075,3072990,883603,4657437173,197,1107,minimobilenet,9
1311981.3205443206,182402.7089275449,2842583,706724,6941693167,265,2500,tinyshufflenet,0
1306127.7620470675,178615.2293988425,3396780,913450,6993008038,268,2530,tinyshufflenet,1
1301451.1282673636,177847.53419248902,2753899,910276,6970572243,267,2518,tinyshufflenet,2
1286681.4606720826,167977.574474451,2917412,856016,6968666791,271,2605,tinyshufflenet,3
1293077.0517209303,168519.82380219075,3226616,924924,6950289153,269,2542,tinyshufflenet,4
1284714.2681079083,163173.42551785044,2736504,888975,6952873619,271,2623,tinyshufflenet,5
1297439.1634759759,171203.39716404982,3096122,957029,6912755863,267,2527,tinyshufflenet,6
1303566.8081471748,178410.2061529134,3896840,960508,6944100387,267,2512,tinyshufflenet,7
1312157.540063802,179902.82370416998,3529288,917295,6992487531,267,2533,tinyshufflenet,8
1306439.356767904,173194.62654226637,3036003,964780,6968547529,267,2491,tinyshufflenet,9
1361815.3374784112,180501.69274537338,3418448,579955,11827366206,435,2795,microdensenet,0
1355861.01353211,179794.0033748531,3501822,840025,11823108038,436,2807,microdensenet,1
1363253.242058011,181616.33715876995,3334098,860044,11843944167,435,2816,microdensenet,2
1353343.931656329,178054.55881581997,2597650,893186,11782212269,436,2803,microdensenet,3
1352757.5599954333,174843.20225074043,3702139,860106,11848803468,438,2805,microdensenet,4
1365272.1624494512,183404.0749379354,3346854,855650,11816430566,433,2813,microdensenet,5
1364009.2139556378,184778.14306794302,3901113,848020,11806863756,433,2799,microdensenet,6
1363774.036521739,185322.1930251356,3244194,856749,11762551065,432,2810,microdensenet,7
1367467.1264580206,182645.05884146772,3413748,856138,11840897848,432,2796,microdensenet,8
-28724858.450591072,2808215311.45475,5054674,-262142192134,-250279691680,435,2806,microdensenet,9
1285471.7324895978,161733.32726602844,3173210,873227,7414600953,289,2804,tinyeffnet,0
1299310.7537670627,140274.4199899198,3118034,891965,7329411962,281,2813,tinyeffnet,1
1289266.1485148515,162137.09993539783,3431571,831357,7422305217,288,2820,tinyeffnet,2
1295201.8727690405,150175.5145857305,3424612,884031,7329547398,283,2809,tinyeffnet,3
1283588.224472284,166896.9743265534,3315727,818662,7479468584,292,2758,tinyeffnet,4
1284030.8150078165,165316.54282679092,3441947,843320,7392165402,288,2773,tinyeffnet,5
1290954.6154377481,168062.06953650856,2601800,828733,7475918178,290,2778,tinyeffnet,6
1296351.563253012,181866.33129119387,9706824,862425,7316608223,283,2818,tinyeffnet,7
